emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.65,0.2,0.7775,0.8571,0.7143,0.698,0.75,0.619,0.0796,0.0559,0.198,0.261,0.191,0.073,0.079,0.063,0.0396,0.0137,0.0302,0.0812,0.0522,0.069,0.0201,0.1029,0.0,0.0,0.0,0.034,0.021,0.02
0.65,0.3,0.7807,0.8571,0.7143,0.7276,0.7143,0.5238,0.0873,0.0791,0.197,0.273,0.2,0.095,0.115,0.09,0.0383,0.0137,0.0302,0.0638,0.0713,0.1361,0.0108,0.0208,0.0,0.0,0.0,0.006,0.001,0.001
0.65,0.4,0.7523,0.8571,0.7143,0.6666,0.7143,0.5238,0.0889,0.0679,0.174,0.258,0.189,0.083,0.102,0.079,0.0511,0.0137,0.0302,0.102,0.0713,0.1361,0.0094,0.0475,0.0,0.0,0.0,0.015,0.003,0.003
0.65,0.5,0.7549,0.9286,0.8095,0.6509,0.7143,0.5238,0.0853,0.0866,0.179,0.258,0.189,0.095,0.11,0.085,0.0498,0.0025,0.0107,0.1133,0.0713,0.1361,0.0127,0.0114,0.0,0.0,0.0,0.005,0.001,0.001
0.65,0.6,0.794,0.9286,0.8095,0.672,0.6071,0.5238,0.0933,0.0516,0.183,0.246,0.181,0.097,0.124,0.096,0.033,0.0025,0.0107,0.0982,0.1482,0.1361,0.0064,0.1321,0.0,0.0,0.0,0.005,0.0,0.0
0.65,0.7,0.8402,0.9643,0.9048,0.7146,0.6429,0.619,0.1088,0.0808,0.174,0.251,0.184,0.111,0.159,0.123,0.018,0.0005,0.0028,0.0711,0.1194,0.069,0.0015,0.0183,0.0,0.0,0.0,0.001,0.0,0.0
0.7,0.0,0.7619,0.9286,0.8095,0.6653,0.7143,0.5238,0.0568,0.0591,0.158,0.199,0.146,0.063,0.05,0.04,0.0465,0.0025,0.0107,0.1029,0.0713,0.1361,0.0973,0.0843,0.0,0.0,0.0,0.066,0.147,0.148
0.7,0.1,0.8004,0.9286,0.8095,0.5827,0.6071,0.4286,0.0817,0.06,0.172,0.243,0.177,0.075,0.074,0.058,0.0306,0.0025,0.0107,0.1697,0.1482,0.2389,0.017,0.0798,0.0,0.0,0.0,0.029,0.032,0.031
0.7,0.2,0.7908,0.8571,0.7143,0.6218,0.75,0.619,0.0795,0.0694,0.172,0.241,0.176,0.076,0.079,0.062,0.0342,0.0137,0.0302,0.136,0.0522,0.069,0.0203,0.0427,0.0,0.0,0.0,0.027,0.021,0.021
0.7,0.3,0.8019,0.9286,0.8095,0.6707,0.7143,0.5238,0.09,0.0729,0.173,0.252,0.184,0.094,0.111,0.086,0.0301,0.0025,0.0107,0.0991,0.0713,0.1361,0.0085,0.0332,0.0,0.0,0.0,0.006,0.001,0.001
0.7,0.4,0.766,0.9286,0.8095,0.6391,0.7857,0.619,0.0929,0.0626,0.165,0.255,0.187,0.083,0.1,0.078,0.0446,0.0025,0.0107,0.1223,0.0362,0.069,0.0066,0.0674,0.0,0.0,0.0,0.015,0.003,0.003
0.7,0.5,0.7641,0.9286,0.8095,0.6322,0.7143,0.5238,0.0892,0.0807,0.171,0.254,0.186,0.095,0.108,0.083,0.0455,0.0025,0.0107,0.1277,0.0713,0.1361,0.0091,0.0184,0.0,0.0,0.0,0.005,0.002,0.002
0.7,0.6,0.7968,0.9286,0.8095,0.672,0.6071,0.5238,0.0939,0.0516,0.183,0.247,0.181,0.097,0.124,0.096,0.0319,0.0025,0.0107,0.0982,0.1482,0.1361,0.0061,0.1321,0.0,0.0,0.0,0.005,0.0,0.0
0.7,0.7,0.8402,0.9643,0.9048,0.7146,0.6429,0.619,0.1088,0.0808,0.174,0.251,0.184,0.111,0.159,0.123,0.018,0.0005,0.0028,0.0711,0.1194,0.069,0.0015,0.0183,0.0,0.0,0.0,0.001,0.0,0.0
0.75,0.0,0.7822,0.9286,0.8095,0.7188,0.75,0.619,0.077,0.066,0.139,0.191,0.139,0.081,0.091,0.072,0.0377,0.0025,0.0107,0.0688,0.0522,0.069,0.0246,0.0539,0.0,0.0,0.0,0.018,0.008,0.008
0.75,0.1,0.7998,0.9286,0.8095,0.6348,0.75,0.619,0.0939,0.0657,0.165,0.241,0.176,0.086,0.093,0.072,0.0308,0.0025,0.0107,0.1257,0.0522,0.069,0.006,0.055,0.0,0.0,0.0,0.012,0.007,0.007
0.75,0.2,0.8005,0.9286,0.8095,0.6758,0.75,0.619,0.0917,0.0697,0.162,0.241,0.176,0.09,0.098,0.077,0.0306,0.0025,0.0107,0.0956,0.0522,0.069,0.0074,0.0417,0.0,0.0,0.0,0.008,0.004,0.004
0.75,0.3,0.8068,0.9286,0.8095,0.6723,0.7143,0.5238,0.0962,0.058,0.166,0.25,0.183,0.097,0.109,0.085,0.0283,0.0025,0.0107,0.098,0.0713,0.1361,0.0049,0.0902,0.0,0.0,0.0,0.005,0.001,0.001
0.75,0.4,0.7734,0.9286,0.8095,0.65,0.7143,0.5238,0.0916,0.0594,0.162,0.255,0.187,0.085,0.102,0.079,0.0414,0.0025,0.0107,0.114,0.0713,0.1361,0.0074,0.0829,0.0,0.0,0.0,0.013,0.003,0.003
0.75,0.5,0.7655,0.9286,0.8095,0.6368,0.7143,0.5238,0.0866,0.0811,0.171,0.256,0.188,0.093,0.108,0.083,0.0449,0.0025,0.0107,0.1241,0.0713,0.1361,0.0114,0.0178,0.0,0.0,0.0,0.006,0.002,0.002
0.75,0.6,0.7914,0.9286,0.8095,0.672,0.6071,0.5238,0.0932,0.0516,0.183,0.247,0.181,0.097,0.124,0.096,0.034,0.0025,0.0107,0.0982,0.1482,0.1361,0.0064,0.1321,0.0,0.0,0.0,0.005,0.0,0.0
0.75,0.7,0.8405,0.9643,0.9048,0.7146,0.6429,0.619,0.1092,0.0808,0.174,0.251,0.184,0.111,0.159,0.123,0.0179,0.0005,0.0028,0.0711,0.1194,0.069,0.0014,0.0183,0.0,0.0,0.0,0.001,0.0,0.0
0.8,0.0,0.7784,0.9286,0.8095,0.6847,0.7143,0.5238,0.0879,0.0234,0.138,0.212,0.155,0.079,0.094,0.074,0.0393,0.0025,0.0107,0.0897,0.0713,0.1361,0.0102,0.4952,0.0,0.0,0.0,0.021,0.006,0.006
0.8,0.1,0.7853,0.9286,0.8095,0.6409,0.5714,0.4286,0.0901,0.0344,0.152,0.232,0.17,0.083,0.095,0.074,0.0364,0.0025,0.0107,0.1209,0.1802,0.2389,0.0085,0.3163,0.0,0.0,0.0,0.015,0.006,0.006
0.8,0.2,0.7883,0.9286,0.8095,0.6388,0.5714,0.4286,0.0908,0.0363,0.151,0.233,0.17,0.084,0.096,0.075,0.0352,0.0025,0.0107,0.1225,0.1802,0.2389,0.008,0.2902,0.0,0.0,0.0,0.014,0.005,0.005
0.8,0.3,0.7782,0.8571,0.7143,0.6875,0.75,0.619,0.0802,0.0367,0.146,0.229,0.168,0.089,0.107,0.083,0.0393,0.0137,0.0302,0.0878,0.0522,0.069,0.0191,0.2845,0.0,0.0,0.0,0.009,0.002,0.002
0.8,0.4,0.7441,0.8571,0.7143,0.6092,0.5714,0.4286,0.0798,0.0455,0.148,0.231,0.169,0.08,0.097,0.075,0.0551,0.0137,0.0302,0.1465,0.1802,0.2389,0.0198,0.1844,0.0,0.0,0.0,0.019,0.005,0.005
0.8,0.5,0.7325,0.8571,0.7143,0.6058,0.6071,0.5238,0.0761,0.0602,0.155,0.233,0.171,0.085,0.102,0.079,0.0612,0.0137,0.0302,0.1494,0.1482,0.1361,0.0263,0.0787,0.0,0.0,0.0,0.012,0.003,0.003
0.8,0.6,0.7924,0.9286,0.8095,0.6722,0.6429,0.619,0.0891,0.0512,0.183,0.243,0.178,0.098,0.125,0.096,0.0336,0.0025,0.0107,0.0981,0.1194,0.069,0.0092,0.135,0.0,0.0,0.0,0.004,0.0,0.0
0.8,0.7,0.8413,0.9643,0.9048,0.7146,0.6429,0.619,0.109,0.0808,0.173,0.251,0.184,0.111,0.159,0.123,0.0176,0.0005,0.0028,0.0711,0.1194,0.069,0.0014,0.0183,0.0,0.0,0.0,0.001,0.0,0.0
0.85,0.0,0.7894,0.9286,0.8095,0.5731,0.6071,0.5238,0.0837,0.0195,0.12,0.198,0.144,0.077,0.093,0.072,0.0348,0.0025,0.0107,0.1786,0.1482,0.1361,0.0145,0.5704,0.0,0.0,0.0,0.025,0.007,0.007
0.85,0.1,0.7749,0.8571,0.7143,0.5704,0.6071,0.5238,0.0846,0.0284,0.124,0.209,0.152,0.076,0.091,0.071,0.0407,0.0137,0.0302,0.1811,0.1482,0.1361,0.0134,0.4067,0.0,0.0,0.0,0.027,0.008,0.008
0.85,0.2,0.774,0.8571,0.7143,0.57,0.6071,0.5238,0.0847,0.0303,0.124,0.209,0.152,0.077,0.093,0.072,0.0411,0.0137,0.0302,0.1815,0.1482,0.1361,0.0133,0.3774,0.0,0.0,0.0,0.025,0.007,0.007
0.85,0.3,0.7637,0.8571,0.7143,0.5764,0.5714,0.4286,0.0793,0.0298,0.125,0.213,0.155,0.08,0.096,0.074,0.0457,0.0137,0.0302,0.1756,0.1802,0.2389,0.0205,0.3851,0.0,0.0,0.0,0.02,0.005,0.005
0.85,0.4,0.7305,0.8571,0.7143,0.5754,0.6071,0.5238,0.0725,0.0376,0.126,0.214,0.157,0.074,0.09,0.069,0.0623,0.0137,0.0302,0.1765,0.1482,0.1361,0.0343,0.2727,0.0,0.0,0.0,0.031,0.009,0.009
0.85,0.5,0.7246,0.8571,0.7143,0.5458,0.6071,0.5238,0.0704,0.0389,0.133,0.216,0.158,0.075,0.089,0.069,0.0655,0.0137,0.0302,0.205,0.1482,0.1361,0.0397,0.2562,0.0,0.0,0.0,0.029,0.009,0.009
0.85,0.6,0.7844,0.8571,0.7143,0.671,0.6071,0.5238,0.0818,0.049,0.165,0.227,0.167,0.095,0.122,0.095,0.0368,0.0137,0.0302,0.0989,0.1482,0.1361,0.0169,0.1527,0.0,0.0,0.0,0.005,0.0,0.0
0.85,0.7,0.8376,0.9643,0.9048,0.71,0.6429,0.619,0.1034,0.0797,0.171,0.245,0.179,0.11,0.158,0.122,0.0187,0.0005,0.0028,0.0739,0.1194,0.069,0.0025,0.0199,0.0,0.0,0.0,0.001,0.0,0.0
0.9,0.0,0.8308,0.9286,0.8095,0.5994,0.6429,0.619,0.0874,0.022,0.127,0.209,0.152,0.072,0.095,0.073,0.0206,0.0025,0.0107,0.1549,0.1194,0.069,0.0107,0.5202,0.0,0.0,0.0,0.037,0.005,0.005
0.9,0.1,0.8232,0.9286,0.8095,0.6018,0.6429,0.619,0.0925,0.0304,0.134,0.216,0.157,0.072,0.098,0.075,0.0229,0.0025,0.0107,0.1529,0.1194,0.069,0.0068,0.375,0.0,0.0,0.0,0.037,0.004,0.004
0.9,0.2,0.8219,0.9286,0.8095,0.6018,0.6429,0.619,0.0928,0.0304,0.134,0.216,0.157,0.072,0.098,0.075,0.0233,0.0025,0.0107,0.1529,0.1194,0.069,0.0067,0.375,0.0,0.0,0.0,0.037,0.004,0.004
0.9,0.3,0.8109,0.9286,0.8095,0.5961,0.6429,0.619,0.0907,0.0297,0.134,0.216,0.157,0.072,0.098,0.075,0.0269,0.0025,0.0107,0.1578,0.1194,0.069,0.0081,0.3866,0.0,0.0,0.0,0.037,0.004,0.005
0.9,0.4,0.8052,0.9286,0.8095,0.5906,0.6429,0.619,0.0923,0.031,0.139,0.227,0.166,0.068,0.093,0.072,0.0289,0.0025,0.0107,0.1626,0.1194,0.069,0.007,0.3653,0.0,0.0,0.0,0.047,0.007,0.007
0.9,0.5,0.8053,0.9286,0.8095,0.6096,0.6429,0.619,0.0922,0.0348,0.139,0.228,0.166,0.07,0.097,0.075,0.0288,0.0025,0.0107,0.1462,0.1194,0.069,0.0071,0.31,0.0,0.0,0.0,0.041,0.004,0.005
0.9,0.6,0.8276,0.9286,0.8095,0.7135,0.6429,0.619,0.0944,0.0524,0.165,0.228,0.167,0.085,0.127,0.098,0.0215,0.0025,0.0107,0.0718,0.1194,0.069,0.0058,0.1261,0.0,0.0,0.0,0.013,0.0,0.0
0.9,0.7,0.8414,0.9643,0.9048,0.7307,0.6429,0.619,0.1022,0.0814,0.167,0.243,0.178,0.106,0.158,0.122,0.0176,0.0005,0.0028,0.0622,0.1194,0.069,0.0028,0.0174,0.0,0.0,0.0,0.002,0.0,0.0
